地浸砂岩型钻孔分层地质特征表,,,,,,,,,,,,,,,,,,,
工作区编号(必填),钻孔编号(必填),分层号(必填),换层深度(m),岩石分层厚度(m),地层代号,年代地层单位名称(有提示信息DSA),岩石地层单位名称(有提示信息DSB),花纹代号,粒度(有提示信息YAN),岩石名称(有提示信息YSEB),岩性描述,地质描述,碳酸岩含量,岩石固结程度,其他（岩石成分）,轴心夹角度(岩层倾角),备注,数据入库日期(年.月.日),,
1,2,3,4,,
MDBTAD,GCJCBN,MDLOA,HCSD,TKACCM,DCDH,DSF,DSBF,YSHFA,YXLD,YSEB,PKICGA,DZMS,FCTSY,FCGJCD,YSQT,GCJLIJ,MDLZZ,GGDDIW,,
220620,P2800,49,177.3,1.1,J2x3,,中侏罗统西山窑组上段,,粗砂,含砾粗砂岩,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,50,177.9,0.6,J2x3,,中侏罗统西山窑组上段,,粗砂,粗砂岩,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色粗砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,51,180.4,2.5,J2x3,,中侏罗统西山窑组上段,,粗砂,含砾粗砂岩,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色含砾粗砂岩，成分石英为主，次为岩屑，少量长石，砾石石英为主，少量岩屑，砾径2-6mm，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,52,180.95,0.55,J2x3,,中侏罗统西山窑组上段,,泥,含炭泥岩,黑色炭质泥岩,黑色炭质泥岩,I,,,,,,
220620,P2800,53,181.85,0.9,J2x3,,中侏罗统西山窑组上段,,细砂,细砂岩,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,灰色细砂岩，成分石英为主，次为岩屑，少量长石，分选中等，次棱角-次圆状，颗粒支撑，泥质胶结，固结疏松。发育粘土化蚀变,I,,,,,,
220620,P2800,54,184,2.15,J2x3,,中侏罗统西山窑组上段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
220620,P2800,55,189.6,5.6,J2x2,,中侏罗统西山窑组中段,,煤,煤,第十煤层，区域标志层。,第十煤层，区域标志层。,I,,,,,,
220620,P2800,56,191.8,2.2,J2x2,,中侏罗统西山窑组中段,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,57,194.1,2.3,J2x2,,中侏罗统西山窑组中段,,中砂,中砂岩,中砂岩,中砂岩,I,,,,,,
220620,P2800,58,200.65,6.55,J2x2,,中侏罗统西山窑组中段,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,59,202.9,2.25,J2x2,,中侏罗统西山窑组中段,,煤,煤,煤,煤,I,,,,,,
220620,P2800,60,211,8.1,J2x2,,中侏罗统西山窑组中段,,粉砂,泥质粉砂岩,泥质粉砂岩,泥质粉砂岩,I,,,,,,
220620,P2800,61,212.2,1.2,J2x2,,中侏罗统西山窑组中段,,煤,煤,煤,煤,I,,,,,,
220620,P2800,62,213.75,1.55,J2x2,,中侏罗统西山窑组中段,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,63,214.55,0.8,J2x2,,中侏罗统西山窑组中段,,砾,砂砾岩,砂砾岩,砂砾岩,I,,,,,,
220620,P2800,64,215.3,0.75,J2x2,,中侏罗统西山窑组中段,,粉砂,粉砂岩,粉砂岩,粉砂岩,I,,,,,,
220620,P2800,65,215.8,0.5,J2x2,,中侏罗统西山窑组中段,,泥,炭质泥岩,炭质泥岩,炭质泥岩,I,,,,,,
220620,P2800,66,231.65,15.85,J2x1,,中侏罗统西山窑组下段,,煤,煤,第八煤层，区域标志层。,第八煤层，区域标志层。,I,,,,,,
220620,P2800,67,233.1,1.45,J2x1,,中侏罗统西山窑组下段,,泥,泥岩,灰色泥岩,灰色泥岩,I,,,,,,
